artist,title,ensc_x,ensc_y
bahram,Beshno,5.9872633909127825e-05,5.0027743951834335e-05
bahram,Daagh,6.7828131414188e-05,6.90751697054202e-05
bahram,Eshtebah,7.275192803745774e-05,7.405390557108423e-05
bahram,GHEYRE INE MAGE,7.018752841114977e-05,7.024759044719726e-05
bahram,Khoon,6.543476928796903e-05,6.617484579365842e-05
bahram,Saz,6.441274624820938e-05,6.43485056531086e-05
farshad,bishomar,7.341112244292228e-05,7.466918157876236e-05
farshad,farib,7.21331846548412e-05,7.295781944605139e-05
farshad,mast,6.136320892819816e-05,5.8973315573968405e-05
farshad,note siah,7.255757663792498e-05,7.329698796985875e-05
farshad,sily,6.089542049173329e-05,5.993478115391332e-05
farshad,tigh,6.579820658192998e-05,6.734472303204667e-05
hichkas,anjam vazife,5.068784479700434e-05,-0.0020832908505035736
hichkas,bazam kalan,6.831308232324008e-05,6.900558641782122e-05
hichkas,ekhtelaf,-0.00289729917283443,8.374977625147277e-05
hichkas,firooz,6.518657586332398e-05,6.562841359965445e-05
hichkas,shabih gorga,6.420427179644911e-05,6.281337080363169e-05
hichkas,to koja bodi,6.087779282426518e-05,6.338930614433442e-05
hiphapologist,5AM,7.341845682043724e-05,7.471475912312644e-05
hiphapologist,azhir,7.309287050280775e-05,7.405126335781632e-05
hiphapologist,blood,7.341558383446782e-05,7.457990013229982e-05
hiphapologist,cartel,6.964531235594779e-05,7.039831969112768e-05
hiphapologist,kara ma,7.162620459371904e-05,7.213730462910352e-05
hiphapologist,karo bigi,7.119202276104877e-05,7.195980534369132e-05
pishro,Divoone 2,7.300014774287165e-05,7.40626743369063e-05
pishro,Ghabrestoone Hip Hop,6.103274600817362e-05,5.734539467954654e-05
pishro,Kalafegi,6.678631569508937e-05,6.790594176614888e-05
pishro,Miri Tu Lak,7.231836173223251e-05,7.334893886882623e-05
pishro,Niloofare Abi,7.338385523851758e-05,7.461729199695012e-05
pishro,Qabil,6.49069996109115e-05,6.625362885518032e-05
sorena,Goriz_Az_Markaz_,6.740088896179142e-05,6.834937238973006e-05
sorena,Keshti,7.066752387719642e-05,7.160590254072834e-05
sorena,Nakhoda Jelal,6.496302455977599e-05,6.523413194537258e-05
sorena,Negar,7.338540028749816e-05,7.454693843555911e-05
sorena,Teryagh,6.66669854145945e-05,6.93619596523663e-05
sorena,mehran,6.799320504738453e-05,6.769657076163812e-05
